metric,direction,method,num_ranked_methods,rank_1,rank_2,rank_3,rank_4
dists,lower,Single CFTE,4,1683,691,1006,10247
dists,lower,NoRefine,4,2257,3941,5745,1684
dists,lower,FixedCMR,4,4118,4844,3803,862
dists,lower,AdaptiveCMR,4,5569,4151,3073,834
lpips,lower,Single CFTE,4,1511,395,468,11253
lpips,lower,NoRefine,4,1723,4212,6405,1287
lpips,lower,FixedCMR,4,8030,3947,1473,177
lpips,lower,AdaptiveCMR,4,2363,5073,5281,910
psnr,higher,Single CFTE,4,1440,570,958,10659
psnr,higher,NoRefine,4,1144,2729,7593,2161
psnr,higher,FixedCMR,4,7129,4723,1574,201
psnr,higher,AdaptiveCMR,4,3914,5605,3502,606
ssim,higher,Single CFTE,4,1299,626,1699,10003
ssim,higher,NoRefine,4,2414,5625,4616,972
ssim,higher,FixedCMR,4,8641,3803,1054,129
ssim,higher,AdaptiveCMR,4,1273,3573,6258,2523
final_dists,lower,Single CFTE,4,1683,691,1006,10247
final_dists,lower,NoRefine,4,2257,3941,5745,1684
final_dists,lower,FixedCMR,4,4118,4844,3803,862
final_dists,lower,AdaptiveCMR,4,5569,4151,3073,834
final_lpips,lower,Single CFTE,4,1511,395,468,11253
final_lpips,lower,NoRefine,4,1723,4212,6405,1287
final_lpips,lower,FixedCMR,4,8030,3947,1473,177
final_lpips,lower,AdaptiveCMR,4,2363,5073,5281,910
final_psnr,higher,Single CFTE,4,1440,570,958,10659
final_psnr,higher,NoRefine,4,1144,2729,7593,2161
final_psnr,higher,FixedCMR,4,7129,4723,1574,201
final_psnr,higher,AdaptiveCMR,4,3914,5605,3502,606
final_ssim,higher,Single CFTE,4,1299,626,1699,10003
final_ssim,higher,NoRefine,4,2414,5625,4616,972
final_ssim,higher,FixedCMR,4,8641,3803,1054,129
final_ssim,higher,AdaptiveCMR,4,1273,3573,6258,2523
superposed_dists,lower,NoRefine,3,1,6058,7568,0
superposed_dists,lower,FixedCMR,3,0,7568,6059,0
superposed_dists,lower,AdaptiveCMR,3,13626,1,0,0
superposed_lpips,lower,NoRefine,3,657,3184,9786,0
superposed_lpips,lower,FixedCMR,3,1553,8726,3348,0
superposed_lpips,lower,AdaptiveCMR,3,11417,1717,493,0
superposed_psnr,higher,NoRefine,3,1507,3667,8453,0
superposed_psnr,higher,FixedCMR,3,10591,2430,606,0
superposed_psnr,higher,AdaptiveCMR,3,1529,7530,4568,0
superposed_ssim,higher,NoRefine,3,1540,3683,8404,0
superposed_ssim,higher,FixedCMR,3,10526,2452,649,0
superposed_ssim,higher,AdaptiveCMR,3,1561,7492,4574,0
bpp,lower,Single CFTE,4,13627,0,0,0
bpp,lower,NoRefine,4,0,5196,6593,1838
bpp,lower,FixedCMR,4,0,487,1977,11163
bpp,lower,AdaptiveCMR,4,0,7944,5057,626
