method,gap_past,gap_future,num_samples,dists_mean,dists_std,lpips_mean,lpips_std,psnr_mean,psnr_std,ssim_mean,ssim_std,final_dists_mean,final_dists_std,final_lpips_mean,final_lpips_std,final_psnr_mean,final_psnr_std,final_ssim_mean,final_ssim_std,bpp_mean,bpp_std,bpp_total_mean,bpp_total_std,bpp_past_mean,bpp_past_std,bpp_future_mean,bpp_future_std,rdloss_mean,rdloss_std,occlusion_mean_visibility_mean,occlusion_mean_visibility_std,occlusion_mean_suppression_mean,occlusion_mean_suppression_std,occlusion_strong_suppression_ratio_mean,occlusion_strong_suppression_ratio_std,occlusion_std_mean,occlusion_std_std,occlusion_feature_attenuation_mean,occlusion_feature_attenuation_std,superposed_dists_mean,superposed_dists_std,superposed_lpips_mean,superposed_lpips_std,superposed_psnr_mean,superposed_psnr_std,superposed_ssim_mean,superposed_ssim_std,adaptive_dists_initial_mean,adaptive_dists_initial_std,adaptive_dists_final_mean,adaptive_dists_final_std,adaptive_dists_improvement_mean,adaptive_dists_improvement_std,adaptive_iterations_mean,adaptive_iterations_std
Single CFTE,7,7,13627,0.07112051784191771,0.028247102815633675,0.12587931048795617,0.061724852497706505,27.00409470439598,4.034095482860951,0.8440708314932381,0.08705882069503758,0.07112051784191771,0.028247102815633675,0.12587931048795617,0.061724852497706505,27.00409470439598,4.034095482860951,0.8440708314932381,0.08705882069503758,0.0019449928860842043,0.00024854906007539294,0.0019449928860842043,0.00024854906007539294,0.0019449928860842043,0.00024854906007539294,0.0,0.0,0.07115105423022923,0.02824993759057873,0.999911467778129,0.0007147740150983624,8.853222187103975e-05,0.0007147740150983578,6.263415461950539e-05,0.0006330727462062144,0.001152514006154954,0.008546746340867372,8.814722144298296e-05,0.0007572102761520071,,,,,,,,,,,,,,,,
NoRefine,7,7,13627,0.06069208486174469,0.024419181616963343,0.10188443247873204,0.047453743470854556,28.5096416565882,3.6606236245216834,0.8791060950664779,0.06729480703716484,0.06069208486174469,0.024419181616963343,0.10188443247873204,0.047453743470854556,28.5096416565882,3.6606236245216834,0.8791060950664779,0.06729480703716484,0.00385665336221989,0.00043477952774552826,0.00385665336221989,0.00043477952774552826,0.0019274731812510318,0.00025202596416035297,0.0019291801833181308,0.0002554202585142278,0.06075263431953154,0.024424136764382334,0.9804521837097678,0.00884551263658988,0.01954781629023215,0.00884551263658988,0.0,0.0,0.01237509615427895,0.0034897347364061986,0.018556888003582652,0.008759081876067144,0.10702870845567226,0.034410305333358086,0.1902941084991961,0.08130166925840035,24.511647943791857,3.8885425353814336,0.7590435811101347,0.11316043307443883,,,,,,,,
FixedCMR,7,7,13627,0.05918148348719335,0.02384575079151068,0.0981533288003794,0.04625953068010244,29.090744862088084,3.8105634359633025,0.8858431505451332,0.0647709646678522,0.05918148348719335,0.02384575079151068,0.0981533288003794,0.04625953068010244,29.090744862088084,3.8105634359633025,0.8858431505451332,0.0647709646678522,0.003940665084589639,0.00041481182601116806,0.003940665084589639,0.00041481182601116806,0.0019694121790519124,0.0002404766846242035,0.0019712529052643016,0.0002439791762439271,0.0592433519290214,0.023850599248332043,0.9652134329310217,0.01056496541801823,0.03478656706897824,0.01056496541801823,0.0,0.0,0.022938055887344252,0.007061715543298362,0.033209039541738414,0.010626305442925164,0.10678406944276299,0.034379555380134263,0.18905399655522068,0.08104315369527942,24.61146936407282,3.9041609975995555,0.7619968064878984,0.1126449688011983,,,,,,,,
AdaptiveCMR,7,7,13627,0.05872608491292636,0.02446776180515096,0.10128803875734979,0.047491990442182046,28.883089718646968,3.7783292076771406,0.8729815994134249,0.06693190245726131,0.05872608491292636,0.02446776180515096,0.10128803875734979,0.047491990442182046,28.883089718646968,3.7783292076771406,0.8729815994134249,0.06693190245726131,0.003829709539592294,0.00041085826795133674,0.003829709539592294,0.00041085826795133674,0.001914000141322853,0.00023829359694038099,0.0019157093971588026,0.0002409301032643462,0.05878621135269795,0.024472731050743362,0.9493280141668711,0.013301986862902336,0.05067198583312887,0.013301986862902336,0.0,0.0,0.027884939716833715,0.007619405600962652,0.04813329247251907,0.013572482497256368,0.09120393942306453,0.03391361295095251,0.1867725801457808,0.08085647124171584,24.544061671607327,3.89106892243555,0.7600176870899925,0.11287260154821092,0.10629599366629296,0.03420948711021826,0.09120393942306453,0.03391361295095251,0.01509205424322839,0.001056351991621023,12.725324722976444,2.112200106047309
