method,dists,lpips,psnr,ssim,final_dists,final_lpips,final_psnr,final_ssim,bpp,bpp_total,bpp_past,bpp_future,rdloss,occlusion_mean_visibility,occlusion_mean_suppression,occlusion_strong_suppression_ratio,occlusion_std,occlusion_feature_attenuation,superposed_dists,superposed_lpips,superposed_psnr,superposed_ssim,adaptive_dists_initial,adaptive_dists_final,adaptive_dists_improvement,adaptive_iterations
Single CFTE,0.07112051784191771,0.12587931048795617,27.00409470439598,0.8440708314932381,0.07112051784191771,0.12587931048795617,27.00409470439598,0.8440708314932381,0.0019449928860842043,0.0019449928860842043,0.0019449928860842043,0.0,0.07115105423022923,0.999911467778129,8.853222187103975e-05,6.263415461950539e-05,0.001152514006154954,8.814722144298296e-05,,,,,,,,
NoRefine,0.06069208486174469,0.10188443247873204,28.5096416565882,0.8791060950664779,0.06069208486174469,0.10188443247873204,28.5096416565882,0.8791060950664779,0.00385665336221989,0.00385665336221989,0.0019274731812510318,0.0019291801833181308,0.06075263431953154,0.9804521837097678,0.01954781629023215,0.0,0.01237509615427895,0.018556888003582652,0.10702870845567226,0.1902941084991961,24.511647943791857,0.7590435811101347,,,,
FixedCMR,0.05918148348719335,0.0981533288003794,29.090744862088084,0.8858431505451332,0.05918148348719335,0.0981533288003794,29.090744862088084,0.8858431505451332,0.003940665084589639,0.003940665084589639,0.0019694121790519124,0.0019712529052643016,0.0592433519290214,0.9652134329310217,0.03478656706897824,0.0,0.022938055887344252,0.033209039541738414,0.10678406944276299,0.18905399655522068,24.61146936407282,0.7619968064878984,,,,
AdaptiveCMR,0.05872608491292636,0.10128803875734979,28.883089718646968,0.8729815994134249,0.05872608491292636,0.10128803875734979,28.883089718646968,0.8729815994134249,0.003829709539592294,0.003829709539592294,0.001914000141322853,0.0019157093971588026,0.05878621135269795,0.9493280141668711,0.05067198583312887,0.0,0.027884939716833715,0.04813329247251907,0.09120393942306453,0.1867725801457808,24.544061671607327,0.7600176870899925,0.10629599366629296,0.09120393942306453,0.01509205424322839,12.725324722976444
