method,dists,lpips,psnr,ssim,final_dists,final_lpips,final_psnr,final_ssim,bpp,bpp_total,bpp_past,bpp_future,rdloss,occlusion_mean_visibility,occlusion_mean_suppression,occlusion_strong_suppression_ratio,occlusion_std,occlusion_feature_attenuation,superposed_dists,superposed_lpips,superposed_psnr,superposed_ssim,adaptive_dists_initial,adaptive_dists_final,adaptive_dists_improvement,adaptive_iterations
Single CFTE,0.061869380014759695,0.10614618853986214,27.988775812899085,0.8700509153595716,0.061869380014759695,0.10614618853986214,27.988775812899085,0.8700509153595716,0.001865428546564943,0.001865428546564943,0.001865428546564943,0.0,0.06189866724294076,0.9981500168707211,0.0018499831292788775,0.0,0.00487579285195284,0.0022839303080840986,,,,,,,,
NoRefine,0.05356701656406332,0.08647976495450517,30.331606840457585,0.9021295979179543,0.05356701656406332,0.08647976495450517,30.331606840457585,0.9021295979179543,0.0039049619645871833,0.0039049619645871833,0.001951440358127186,0.0019535216059185186,0.05362832446690734,0.9746048356890132,0.025395164310986713,0.0,0.01905882847241065,0.02406152036794685,0.09574613880047658,0.16022665307047054,26.040359669696695,0.7972572039674699,,,,
FixedCMR,0.052262509052298615,0.08577603424854847,30.113158225077488,0.896319622362091,0.052262509052298615,0.08577603424854847,30.113158225077488,0.896319622362091,0.003642338868048087,0.003642338868048087,0.0018201401304786108,0.0018221987377416984,0.05231969377252696,0.9718148620601907,0.02818513793980925,0.0,0.020378258022588015,0.02651549599049883,0.09569644785172655,0.15959412867960568,26.07119083403578,0.7983962667263506,,,,
AdaptiveCMR,0.055718418756504705,0.09653866967155746,29.105997030218,0.8783532693559498,0.055718418756504705,0.09653866967155746,29.105997030218,0.8783532693559498,0.0037634183374633963,0.0037634183374633963,0.0018807799148895658,0.0018826384234023302,0.05577750442440288,0.9741104743662298,0.02588952563377017,0.0,0.016924849267584047,0.024552240968800543,0.08201995234300934,0.16126618998950923,25.828113117223463,0.7927609604468652,0.0970663061715543,0.08201995234300934,0.01504635382854491,12.623564230850539
