method,gap_past,gap_future,num_samples,dists_mean,dists_std,lpips_mean,lpips_std,psnr_mean,psnr_std,ssim_mean,ssim_std,final_dists_mean,final_dists_std,final_lpips_mean,final_lpips_std,final_psnr_mean,final_psnr_std,final_ssim_mean,final_ssim_std,bpp_mean,bpp_std,bpp_total_mean,bpp_total_std,bpp_past_mean,bpp_past_std,bpp_future_mean,bpp_future_std,rdloss_mean,rdloss_std,occlusion_mean_visibility_mean,occlusion_mean_visibility_std,occlusion_mean_suppression_mean,occlusion_mean_suppression_std,occlusion_strong_suppression_ratio_mean,occlusion_strong_suppression_ratio_std,occlusion_std_mean,occlusion_std_std,occlusion_feature_attenuation_mean,occlusion_feature_attenuation_std,superposed_dists_mean,superposed_dists_std,superposed_lpips_mean,superposed_lpips_std,superposed_psnr_mean,superposed_psnr_std,superposed_ssim_mean,superposed_ssim_std,adaptive_dists_initial_mean,adaptive_dists_initial_std,adaptive_dists_final_mean,adaptive_dists_final_std,adaptive_dists_improvement_mean,adaptive_dists_improvement_std,adaptive_iterations_mean,adaptive_iterations_std
Single CFTE,5,5,14191,0.061869380014759695,0.025227570169799967,0.10614618853986214,0.05240327096651263,27.988775812899085,3.9103684828701475,0.8700509153595716,0.07636937270705599,0.061869380014759695,0.025227570169799967,0.10614618853986214,0.05240327096651263,27.988775812899085,3.9103684828701475,0.8700509153595716,0.07636937270705599,0.001865428546564943,0.0002524962947588653,0.001865428546564943,0.0002524962947588653,0.001865428546564943,0.0002524962947588653,0.0,0.0,0.06189866724294076,0.02523048678936447,0.9981500168707211,0.0038225897085524285,0.0018499831292788775,0.0038225897085524185,0.0,0.0,0.00487579285195284,0.00940504909123136,0.0022839303080840986,0.004789566521239301,,,,,,,,,,,,,,,,
NoRefine,5,5,14191,0.05356701656406332,0.022940950376854802,0.08647976495450517,0.04353679061323973,30.331606840457585,4.055275139914859,0.9021295979179543,0.059430204979654414,0.05356701656406332,0.022940950376854802,0.08647976495450517,0.04353679061323973,30.331606840457585,4.055275139914859,0.9021295979179543,0.059430204979654414,0.0039049619645871833,0.0004437799488301475,0.0039049619645871833,0.0004437799488301475,0.001951440358127186,0.00025208864053766797,0.0019535216059185186,0.0002542863602318284,0.05362832446690734,0.022946049672654862,0.9746048356890132,0.008215548615073016,0.025395164310986713,0.008215548615073016,0.0,0.0,0.01905882847241065,0.006471951718511677,0.02406152036794685,0.008045987855414008,0.09574613880047658,0.03358364982964126,0.16022665307047054,0.07527531105679189,26.040359669696695,4.185805267104284,0.7972572039674699,0.10879221345974022,,,,,,,,
FixedCMR,5,5,14191,0.052262509052298615,0.022561415289294267,0.08577603424854847,0.042847052553404964,30.113158225077488,3.894175060395753,0.896319622362091,0.059583760705836784,0.052262509052298615,0.022561415289294267,0.08577603424854847,0.042847052553404964,30.113158225077488,3.894175060395753,0.896319622362091,0.059583760705836784,0.003642338868048087,0.00042113126635966354,0.003642338868048087,0.00042113126635966354,0.0018201401304786108,0.00023923408765978333,0.0018221987377416984,0.0002415180202319251,0.05231969377252696,0.022566274553236423,0.9718148620601907,0.008479011088012006,0.02818513793980925,0.008479011088012004,0.0,0.0,0.020378258022588015,0.006152195887765275,0.02651549599049883,0.008489418681582343,0.09569644785172655,0.033582514354130955,0.15959412867960568,0.07488713047760828,26.07119083403578,4.17205666626876,0.7983962667263506,0.1080764941206463,,,,,,,,
AdaptiveCMR,5,5,14191,0.055718418756504705,0.02665298352570009,0.09653866967155746,0.05162522036027366,29.105997030218,4.302849706498531,0.8783532693559498,0.07718614808577291,0.055718418756504705,0.02665298352570009,0.09653866967155746,0.05162522036027366,29.105997030218,4.302849706498531,0.8783532693559498,0.07718614808577291,0.0037634183374633963,0.0004338543421661343,0.0037634183374633963,0.0004338543421661343,0.0018807799148895658,0.00024500300460099616,0.0018826384234023302,0.00024738275467565214,0.05577750442440288,0.02665718859390508,0.9741104743662298,0.006933038890420167,0.02588952563377017,0.006933038890420169,0.0,0.0,0.016924849267584047,0.004883569934736236,0.024552240968800543,0.006915196392210692,0.08201995234300934,0.03267050438170156,0.16126618998950923,0.07453729191610182,25.828113117223463,4.10176309366034,0.7927609604468652,0.10769979412517751,0.0970663061715543,0.03307679309483574,0.08201995234300934,0.03267050438170156,0.01504635382854491,0.0011567312810236306,12.623564230850539,2.190135487733641
