method,dists,lpips,psnr,ssim,final_dists,final_lpips,final_psnr,final_ssim,bpp,bpp_total,bpp_past,bpp_future,rdloss,occlusion_mean_visibility,occlusion_mean_suppression,occlusion_strong_suppression_ratio,occlusion_std,occlusion_feature_attenuation,superposed_dists,superposed_lpips,superposed_psnr,superposed_ssim,adaptive_dists_initial,adaptive_dists_final,adaptive_dists_improvement,adaptive_iterations
Single CFTE,0.04968873375163429,0.08151921139465762,29.952472573325004,0.899234953780288,0.04968873375163429,0.08151921139465762,29.952472573325004,0.899234953780288,0.0018058789788657995,0.0018058789788657995,0.0018058789788657995,0.0,0.04971708605160248,0.999748431667383,0.00025156833261700195,0.0,0.0013789833103725242,0.00032809436428381017,,,,,,,,
NoRefine,0.0419700798623009,0.06536698403226356,32.45722924851396,0.9258041236064931,0.0419700798623009,0.06536698403226356,32.45722924851396,0.9258041236064931,0.003807483576236246,0.003807483576236246,0.0019030588898579252,0.0019044246871841816,0.04202985735444781,0.9817764450982733,0.018223554901726575,0.0,0.013962909919154245,0.017024584789532535,0.07839775527038577,0.1177933255791022,28.854231598205367,0.8566314783872103,,,,
FixedCMR,0.041591457752304425,0.06494306501938203,32.435645348497346,0.9253021317319899,0.041591457752304425,0.06494306501938203,32.435645348497346,0.9253021317319899,0.003679014915087191,0.003679014915087191,0.0018389306552079655,0.0018400842597086934,0.041649218286471286,0.98140319481374,0.018596805186259873,0.0,0.013560803901170503,0.017606609628464404,0.07803752194912256,0.11707508598683607,28.90421973523997,0.8580011425449692,,,,
AdaptiveCMR,0.04054141130712734,0.06534396288385184,32.18866654951264,0.920029376896649,0.04054141130712734,0.06534396288385184,32.18866654951264,0.920029376896649,0.0036540672574894794,0.0036540672574894794,0.0018264182866142877,0.0018276489715958108,0.04059878016306991,0.9810584530780868,0.018941546921913136,0.0,0.013212290885533034,0.017728584116469923,0.0632089562250391,0.11399643522996165,28.939369074652745,0.8591518307582292,0.07779001784548413,0.0632089562250391,0.014581061620444976,13.038341210144445
