method,gap_past,gap_future,num_samples,dists_mean,dists_std,lpips_mean,lpips_std,psnr_mean,psnr_std,ssim_mean,ssim_std,final_dists_mean,final_dists_std,final_lpips_mean,final_lpips_std,final_psnr_mean,final_psnr_std,final_ssim_mean,final_ssim_std,bpp_mean,bpp_std,bpp_total_mean,bpp_total_std,bpp_past_mean,bpp_past_std,bpp_future_mean,bpp_future_std,rdloss_mean,rdloss_std,occlusion_mean_visibility_mean,occlusion_mean_visibility_std,occlusion_mean_suppression_mean,occlusion_mean_suppression_std,occlusion_strong_suppression_ratio_mean,occlusion_strong_suppression_ratio_std,occlusion_std_mean,occlusion_std_std,occlusion_feature_attenuation_mean,occlusion_feature_attenuation_std,superposed_dists_mean,superposed_dists_std,superposed_lpips_mean,superposed_lpips_std,superposed_psnr_mean,superposed_psnr_std,superposed_ssim_mean,superposed_ssim_std,adaptive_dists_initial_mean,adaptive_dists_initial_std,adaptive_dists_final_mean,adaptive_dists_final_std,adaptive_dists_improvement_mean,adaptive_dists_improvement_std,adaptive_iterations_mean,adaptive_iterations_std
Single CFTE,3,3,15023,0.04968873375163429,0.02198274925351982,0.08151921139465762,0.044197762045950946,29.952472573325004,4.138315678899291,0.899234953780288,0.06449879539619013,0.04968873375163429,0.02198274925351982,0.08151921139465762,0.044197762045950946,29.952472573325004,4.138315678899291,0.899234953780288,0.06449879539619013,0.0018058789788657995,0.000257176806508035,0.0018058789788657995,0.000257176806508035,0.0018058789788657995,0.000257176806508035,0.0,0.0,0.04971708605160248,0.021985769253503297,0.999748431667383,0.0004979000998769445,0.00025156833261700195,0.0004979000998769312,0.0,0.0,0.0013789833103725242,0.002410175198669314,0.00032809436428381017,0.0006814823284700747,,,,,,,,,,,,,,,,
NoRefine,3,3,15023,0.0419700798623009,0.019317806460772007,0.06536698403226356,0.03478080774783856,32.45722924851396,3.9633260327727524,0.9258041236064931,0.04685459921210922,0.0419700798623009,0.019317806460772007,0.06536698403226356,0.03478080774783856,32.45722924851396,3.9633260327727524,0.9258041236064931,0.04685459921210922,0.003807483576236246,0.00045824005915906616,0.003807483576236246,0.00045824005915906616,0.0019030588898579252,0.0002548821198410592,0.0019044246871841816,0.00025662490997230606,0.04202985735444781,0.019323067316532622,0.9817764450982733,0.006053765132141725,0.018223554901726575,0.006053765132141725,0.0,0.0,0.013962909919154245,0.003742169930815359,0.017024584789532535,0.006001389584545757,0.07839775527038577,0.03204616466168066,0.1177933255791022,0.0638853417980159,28.854231598205367,4.660004291687385,0.8566314783872103,0.09591508284805543,,,,,,,,
FixedCMR,3,3,15023,0.041591457752304425,0.01920417447133961,0.06494306501938203,0.03485858881777379,32.435645348497346,3.9633401970736317,0.9253021317319899,0.04633439602725878,0.041591457752304425,0.01920417447133961,0.06494306501938203,0.03485858881777379,32.435645348497346,3.9633401970736317,0.9253021317319899,0.04633439602725878,0.003679014915087191,0.00045442193550275604,0.003679014915087191,0.00045442193550275604,0.0018389306552079655,0.00025256688351056627,0.0018400842597086934,0.0002538973209138086,0.041649218286471286,0.01920943225381466,0.98140319481374,0.006163950892691717,0.018596805186259873,0.006163950892691717,0.0,0.0,0.013560803901170503,0.004667654158023035,0.017606609628464404,0.005992459442074005,0.07803752194912256,0.03187283042974969,0.11707508598683607,0.06332237645299221,28.90421973523997,4.63178104870304,0.8580011425449692,0.09496946760079197,,,,,,,,
AdaptiveCMR,3,3,15023,0.04054141130712734,0.01923985038172287,0.06534396288385184,0.03461865797165628,32.18866654951264,3.898813348662647,0.920029376896649,0.04749241977269369,0.04054141130712734,0.01923985038172287,0.06534396288385184,0.03461865797165628,32.18866654951264,3.898813348662647,0.920029376896649,0.04749241977269369,0.0036540672574894794,0.0004544378422278724,0.0036540672574894794,0.0004544378422278724,0.0018264182866142877,0.0002524108923253808,0.0018276489715958108,0.0002538285590614093,0.04059878016306991,0.019245166458968805,0.9810584530780868,0.004955003691177977,0.018941546921913136,0.004955003691177978,0.0,0.0,0.013212290885533034,0.003208333773762351,0.017728584116469923,0.004928989483307364,0.0632089562250391,0.030567328797897083,0.11399643522996165,0.06259784694600086,28.939369074652745,4.6301562517588115,0.8591518307582292,0.09440211888195345,0.07779001784548413,0.03158852270215174,0.0632089562250391,0.030567328797897083,0.014581061620444976,0.0018302335133899234,13.038341210144445,2.11800573811325
